 Year,Project, Company, Content_Type, Activity, Region, Program, Language,Amount
2019 - 2020,Nuit blanche I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1
2019 - 2020,Contre-offre I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,610.000.00
2019 - 2020,Code Québec I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,100.000.00
2019 - 2020,Preuve (La),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Face aux monstres (anc. Tu me fais mourir),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Ça ne se demande pas ! II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2019 - 2020,Huissiers (Les) III,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,325.411.00
2019 - 2020,Max et Livia III,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,369.744.00
2019 - 2020,Alerte Amber I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.110.000
2019 - 2020,Pas plus bête que nous II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,229.250.00
2019 - 2020,Notre premier flip I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,227.130.00
2018 - 2019,GTI I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,227.429.00
2018 - 2019,Maudit mongol I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,75.000.00
2018 - 2019,Meurtriers sur mesure I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2018 - 2019,Faille (La) I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.000.000
2018 - 2019,Victor Lessard III,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2018 - 2019,Ça ne se demande pas ! I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2018 - 2019,En pleine Tempête III,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,240.164.00
2018 - 2019,Combattants : L’ultime série (Les),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,64.900.00
2019 - 2020,Sapiens (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,239.968.00
2018 - 2019,Sapiens (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,605.462.00
2018 - 2019,Sapiens (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,614.484.00
2018 - 2019,Max et Livia II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,349.702.00
2018 - 2019,Dévisagés I (anc. Défigurés I),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,203.000.00
2018 - 2019,Monstre (Le) I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,300.000.00
2018 - 2019,Huissiers (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,279.350.00
2017 - 2018,Huissiers (Les) II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,208.000.00
2017 - 2018,Croque-morts (Les) I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,29.295.00
2017 - 2018,Pas plus bêtes que nous! I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,155.813.00
2017 - 2018,Porn To Be Wild I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2017 - 2018,Voir grand I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2017 - 2018,Lâchés lousses I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2017 - 2018,Silex I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,631.906.00
2017 - 2018,Silex I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,911.215.00
2017 - 2018,Victor Lessard II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,250.000.00
2017 - 2018,Tu ne m’as pas tuée I,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,75.000.00
2017 - 2018,Histoires en cour II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,80.000.00
2017 - 2018,En pleine tempête II,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,259.000.00
2016 - 2017,Huissiers (Les) I (1-13),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,195.000.00
2016 - 2017,Victor Lessard: Rouge Mémoire I (1-10),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2016 - 2017,Tueur si proche (Un) XIII (120-129),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,419.000.00
2016 - 2017,Cirque Alfonse (Le) (1-6),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,96.000.00
2016 - 2017,J’aurais donc dû docteur! I (1-13),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,236.000.00
2016 - 2017,Conquérants du Gril (Les) I (1-10),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,232.100.00
2016 - 2017,Histoires en cour I (1-11),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,80.000.00
2015 - 2016,Code Max II (27-52),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,723.439.00
2015 - 2016,Argonautes (Les) V (177-208),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,929.562.00
2015 - 2016,J’aurais donc dû docteur!,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2015 - 2016,Richard Garneau: dix secondes d’extase,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,122.000.00
2015 - 2016,Karl & Max I (1-10),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2014 - 2015,Code Max I (1-26),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,634.255.00
2014 - 2015,En pleine tempête I (1-8),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2014 - 2015,Argonautes (Les) IV (157-176),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,543.641.00
2013 - 2014,Argonautes (Les) III (105-156),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.296.239
2013 - 2014,Tueur si proche (Un) XII (110-119),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,690.000.00
2012 - 2013,Argonautes (Les) II (53-104),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.280.234
2012 - 2013,Destinées VII (157-182),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,3.305.279
2012 - 2013,Dans l’ombre des Shafia,Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,119.060.00
2012 - 2013,Tueur si proche (Un) XI (100-109),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,702.000.00
2011 - 2012,Destinées VI (131-156),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,3.027.031
2011 - 2012,Tueur si proche (Un) X (90-99),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,698.231.00
2011 - 2012,Argonautes (Les) I (1-52),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.307.000
2011 - 2012,Grands duels de la LNI (Les) III (32-46),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,145.752.00
2010 - 2011,Destinées V (105-130),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,3.013.988
2010 - 2011,Tueur si proche (Un) IX (80-89),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,681.820.00
2010 - 2011,Tueur si proche (Un) VIII (70-79),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,693.328.00
2010 - 2011,Maisons de fous I (1-8),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,45.967.00
2010 - 2011,Canal masqué (Le) I (1-26),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,340.824.00
2010 - 2011,Kaboum VI (251-300),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.296.788
2010 - 2011,Vertige I (1-6),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.594.082
2010 - 2011,Monde en gros (Le) I (1-13),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,326.981.00
2010 - 2011,Apparences I (1-10),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,2.421.362
2010 - 2011,Grands duels de la LNI (Les) II (17-31),Productions Pixcom Inc.,N/A,Production,Montreal,Performance Envelopes,French,141.999.00
2019 - 2020,Plan B III,Productions KOTV VII Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.00.
2019 - 2020,Marie-Ève Aubry cherche Marie-Ève Aubry,URBANIA TV 3101 inc.,N/A,Production,Montreal,Performance Envelopes,French,78.675.00
2019 - 2020,Gospelmania I,LES FILMS TMH INC.,N/A,Production,Montreal,Performance Envelopes,French,80.000.00
2019 - 2020,Lady Sapiens,Idéacom International Inc.,N/A,Production,Montreal,Performance Envelopes,French,85.000.00
2019 - 2020,Pierre Hébert – Le goût du risque,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2019 - 2020,Dominic et Martin – Juste,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Être ou ne pas être,9325-8317 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,198.839.00
2019 - 2020,Prochain Stand up (Le) I,Juste pour rire TV inc.,N/A,Production,Montreal,Performance Envelopes,French,320.000.00
2019 - 2020,MK Ultra : La fin du silence,Productions KOTV VI inc.,N/A,Production,Montreal,Performance Envelopes,French,80.000.00
2019 - 2020,Voleurs de vie (Les),La plénière inc.,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2019 - 2020,Fille de tueur ?,Productions KOTV IV INC.,N/A,Production,Montreal,Performance Envelopes,French,100.000.00
2019 - 2020,Dernier Felquiste (Le) I,Production D'Octobre inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Voix (La) VIII,La Voix Télévision Inc.,N/A,Production,Montreal,Performance Envelopes,French,2.393.101
2019 - 2020,De Garde 24/7 – VI,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,307.000.00
2019 - 2020,Sauver Ayah,Rendez-vous Télé I inc.,N/A,Production,Montreal,Performance Envelopes,French,135.392.00
2019 - 2020,Classé Secrets I,Productions Les Secrets inc.,N/A,Production,Montreal,Performance Envelopes,French,1.150.000
2019 - 2020,Patrick Senécal présente I,Zone3-XXII Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Parents séparés; enfants blessés,Datsit Studios Neuf Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2019 - 2020,Or gris (L’),Films JAD Inc.,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2019 - 2020,Anges passeurs (Les),Toast Media Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2019 - 2020,Cèdres sur la glace (Des),Toast Media Inc.,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2019 - 2020,39-45; en sol canadien I,9339-1969 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,282.774.00
2019 - 2020,Goutte de trop (Une),Blimp Télé Inc.,N/A,Production,Montreal,Performance Envelopes,French,115.000.00
2019 - 2020,Retour aux sources I,9308-6932 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,120.343.00
2019 - 2020,Clash III,Production Clash III Inc.,N/A,Production,Montreal,Performance Envelopes,French,180.000.00
2019 - 2020,Rue King I (anc. Schiller Street),Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,Vanlab I,Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,247.211.00
2019 - 2020,Oka; 30 ans après,Zone3-XVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,27.000.00
2019 - 2020,Télétoon Show (Le) I (anc. Julien Lacroix… Sérieux?!),SOCIÉTÉ 21 G INC.,N/A,Production,Montreal,Performance Envelopes,French,19.483.00
2019 - 2020,Famille Groulx (La) IV,Datsit Studios Seize Inc.,N/A,Production,Montreal,Performance Envelopes,French,230.000.00
2019 - 2020,Barre Haute (La) (anc. Anxiété de performance),Productions KOTV WEB inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,En marge du monde II,Océan Télévision II inc.,N/A,Production,Montreal,Performance Envelopes,French,40.000.00
2019 - 2020,De Ben Johnson à Gérard,Société Radio-Canada - Réseau,N/A,Production,Montreal,Performance Envelopes,French,35.000.00
2019 - 2020,Grand Moove (Le) I,Les Productions Lustitia Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2019 - 2020,Qui a peur des pitbulls?,URBANIA TV 2802 Inc.,N/A,Production,Montreal,Performance Envelopes,French,49.900.00
2019 - 2020,Zoo… l’ennui (Un),URBANIA TV 2802 Inc.,N/A,Production,Montreal,Performance Envelopes,French,71.000.00
2019 - 2020,Première ligne : chaque seconde compte I,Productions Hyperzoom Inc.,N/A,Production,Montreal,Performance Envelopes,French,75.000.00
2019 - 2020,Documentaire Toute la vie,Aetios Documentaires Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,Splash I,9321-3023 Québec Inc.,N/A,Production,Montreal,Performance Envelopes,French,226.401.00
2019 - 2020,Au pays du bonheur I,9641173 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,40.000.00
2019 - 2020,Vrai Nouveau Monde (Le),Média Qube Télé Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Cérébrum : Mal de tête!,Datsit Studios Neuf Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,Documentaire District 31 III – Au dela de l’uniforme,Aetios Documentaires Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,Lutins en fêtes (anc. Fêtes et boules de neige),10620114 CANADA INC.,N/A,Production,Montreal,Performance Envelopes,French,69.294.00
2019 - 2020,J’ai abandonné mes enfants,N12 Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Mecs (Les) I,A Média II inc.,N/A,Production,Montreal,Performance Envelopes,French,100.000.00
2019 - 2020,Six degrés I,Encore Télévision - Six Degrés inc.,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2019 - 2020,Au coeur du monde I,Les Productions LA QUÊTE inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Détresse et l’enchantement (La),AIDIA Télévision Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,Guerre du Slam (La),9252-0824 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,15.000.00
2019 - 2020,Lac-Mégantic : La Renaissance,Cache no9 Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,20.000.00
2019 - 2020,Fin de mois II (anc. Sous le seuil),Trinôme inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Peter MacLeod: Libre (Tailgate),Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Alix et les merveilleux II,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,468.492.00
2019 - 2020,Alix et les merveilleux II,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,628.825.00
2019 - 2020,Pandémie : sommes-nous prêts?,Datsit Studios Quatorze Inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Remue-Ménage au Biodôme I,Zone3-XVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Like-moi! V,Zone3-XVII inc.,N/A,Production,Montreal,Performance Envelopes,French,145.000.00
2019 - 2020,CHSLD,9325-8317 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,36.738.00
2019 - 2020,Bye Bye 2019,A Média IV Inc.,N/A,Production,Montreal,Performance Envelopes,French,110.000.00
2019 - 2020,FLQ – La traque,Productions Esperamos II inc.,N/A,Production,Montreal,Performance Envelopes,French,146.440.00
2019 - 2020,Mon Afrique I,Zone3-XXII Inc.,N/A,Production,Montreal,Performance Envelopes,French,100.000.00
2019 - 2020,M’entends-tu? II,9641149 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,341.642.00
2019 - 2020,Bête noire I,Encore Télévision - Bêtes noires Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.301.073
2019 - 2020,Tenir salon I,Attraction Images Productions XIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,35.000.00
2019 - 2020,Contre le temps I,Timely Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,601.214.00
2019 - 2020,Contre le temps I,Timely Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,48.000.00
2019 - 2020,Fac (La) I (anc. Fédé (La) I),Productions la Fac Inc.,N/A,Production,Montreal,Performance Envelopes,French,450.000.00
2019 - 2020,Sortez-moi de moi I (anc. 2-1-1),9406-4524 Québec Inc.,N/A,Production,Montreal,Performance Envelopes,French,500.000.00
2019 - 2020,Rabatteurs (Les) I,Productions Hyperzoom Inc.,N/A,Production,Montreal,Performance Envelopes,French,127.109.00
2019 - 2020,Maintenant ou Jamais (anc. En route pour me choisir),KenyaTV Inc.,N/A,Production,Montreal,Performance Envelopes,French,140.000.00
2019 - 2020,Mammouth 2019,Attraction Images Productions X Inc.,N/A,Production,Montreal,Performance Envelopes,French,124.880.00
2019 - 2020,Ari Cui Cui II,Tapedidou TV Inc.,N/A,Production,Montreal,Performance Envelopes,French,168.173.00
2019 - 2020,Fureur (Spéciale 2020) (La),PRODUCTIONS KOTV I INC.,N/A,Production,Montreal,Performance Envelopes,French,94.176.00
2019 - 2020,Sur la piste de John Raymond Boulanger,Productions Casadel Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2019 - 2020,Vrai selfie (Un) II,4504046 Canada Inc,N/A,Production,Montreal,Performance Envelopes,French,129.793.00
2019 - 2020,Crimes sexuels I,Datsit Studios Huit Inc.,N/A,Production,Montreal,Performance Envelopes,French,95.000.00
2019 - 2020,P-A Méthot: Party disco,Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2019 - 2020,Éboueurs (Les) II,Datsit Studios Neuf Inc.,N/A,Production,Montreal,Performance Envelopes,French,196.625.00
2019 - 2020,Engagez-moi,Zone3-XVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,40.000.00
2019 - 2020,Frontières I,Trinôme inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2019 - 2020,Académie (L’) III,Les Productions Passez Go III Inc.,N/A,Production,Montreal,Performance Envelopes,French,40.000.00
2019 - 2020,Pour toujours; plus un jour; I,Les Productions Passez Go II Inc.,N/A,Production,Montreal,Performance Envelopes,French,528.786.00
2019 - 2020,Appel d’une vie (L’) I,Trinôme inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2019 - 2020,Route : 2 frères aux Francos 2019 (La),9276-0701 Québec Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,Faire oeuvre utile II,Zone3-XVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,Génies de la vitesse (Les) I,9341-9745 Québec Inc.,N/A,Production,Montreal,Performance Envelopes,French,203.000.00
2019 - 2020,180 jours III,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,261.657.00
2019 - 2020,En tout cas III,EN TOUT CAS SAISON 3 INC.,N/A,Production,Montreal,Performance Envelopes,French,1.250.000
2019 - 2020,Coroner: La voix des victimes I,Attraction Images Productions XII Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Coulisses du Palais (Les) II,Productions KOTV IV INC.,N/A,Production,Montreal,Performance Envelopes,French,246.803.00
2019 - 2020,Décroissance (La),La plénière inc.,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2019 - 2020,Bienvenue chez les cheaps I,Datsit Studios Neuf Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2019 - 2020,Reines (Les) I,Zone3-XVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,166.000.00
2019 - 2020,En direct de l’univers XI,Attraction Images Productions XIII Inc.,N/A,Production,Montreal,Performance Envelopes,French,350.000.00
2019 - 2020,Petite vie (Ma) I,7257244 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,150.000.00
2019 - 2020,Infoman XX,Zone3-XVII inc.,N/A,Production,Montreal,Performance Envelopes,French,150.000.00
2019 - 2020,Nombreux et Heureux en vacances III,7257244 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,150.000.00
2019 - 2020,Animaux à la retraite I,Datsit Studios Quatorze Inc.,N/A,Production,Montreal,Performance Envelopes,French,34.629.00
2019 - 2020,J’aime Hydro,Productions GFP (IX) Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Belle et Bum XVII,Datsit Studios Neuf Inc.,N/A,Production,Montreal,Performance Envelopes,French,363.180.00
2019 - 2020,Oncle Patof (Mon),Les Films Vital Inc,N/A,Production,Montreal,Performance Envelopes,French,114.000.00
2019 - 2020,En fugue I,Encore Télévision - Fugueuses Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Seizième de Monsieur Nagano (La),Pamplemousse Média Inc.,N/A,Production,Montreal,Performance Envelopes,French,68.275.00
2019 - 2020,Fugueuse II,Encore Télévision - Fugueuses Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.157.800
2019 - 2020,26 Lettres à danser,Echofogo Inc.,N/A,Production,Montreal,Performance Envelopes,French,15.000.00
2019 - 2020,Cochon Dingue IV,9640568 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,216.750.00
2019 - 2020,Cochon Dingue IV,9640568 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,585.663.00
2019 - 2020,Expérience Messmer (L’) V,Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Où es-tu ? II,Attraction Images Productions XII Inc.,N/A,Production,Montreal,Performance Envelopes,French,150.000.00
2019 - 2020,Open Mic de… (L’) II,Productions Open Mic inc.,N/A,Production,Montreal,Performance Envelopes,French,441.988.00
2019 - 2020,Valérie et moi (anc. Valérie le documentaire),Atmosphère TV Production inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2019 - 2020,2 min pour être drôle 2020,HIT FILM Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,12.863.00
2019 - 2020,Haute Tension I (anc. Choc électrique I),Zone3-XVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,225.460.00
2019 - 2020,Diplômés MIRA (Les) II,4472438 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,203.076.00
2019 - 2020,Détresse au bout du rang (La),9249-7189 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,55.400.00
2019 - 2020,Le 422,Le 422 productions (2019) inc.,N/A,Production,Montreal,Performance Envelopes,French,469.752.00
2019 - 2020,Trafic,9249-7189 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2019 - 2020,Dave Morissette – Les vrais héros I,Zone3-XVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Lâcher Prise IV,Encore Télévision - Lâcher Prise inc.,N/A,Production,Montreal,Performance Envelopes,French,1.451.100
2019 - 2020,Passe-Partout II,Attraction Images Productions V Inc.,N/A,Production,Montreal,Performance Envelopes,French,855.151.00
2019 - 2020,Épidémie I,Sphère Média 2016 Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.060.000
2019 - 2020,Mont Tétons: Guide de survie,Blimp Télé 2 Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Chiliheads,Toast TV inc,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2019 - 2020,SEULS,9249-7189 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2019 - 2020,Primitifs (Les) I,MUST MÉDIA V INC,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2019 - 2020,Effet secondaire (L’),Zone3-XVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,74.966.00
2019 - 2020,Pays d’en haut (Les) V,Productions LBH inc.,N/A,Production,Montreal,Performance Envelopes,French,870.000.00
2019 - 2020,Manger,PRODUCTIONS KOTV I INC.,N/A,Production,Montreal,Performance Envelopes,French,36.000.00
2019 - 2020,Je4n-Michel,Productions Maricharlau Inc. (Les),N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2019 - 2020,Survivalistes I,8450544 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Mon Fils I,Productions MON FILS inc,N/A,Production,Montreal,Performance Envelopes,French,50.000.00
2019 - 2020,Mutants (Les) I,Téléfiction Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,613.687.00
2019 - 2020,Vue sous les étoiles (Une) I,Pimiento Medias 5 Inc.,N/A,Production,Montreal,Performance Envelopes,French,96.193.00
2019 - 2020,Allons boire ailleurs I,8766410 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,352.405.00
2019 - 2020,Classe à part; la suite … II,Blimp Télé 2 Inc.,N/A,Production,Montreal,Performance Envelopes,French,114.284.00
2019 - 2020,À fond de train IV,Blimp Télé Inc.,N/A,Production,Montreal,Performance Envelopes,French,207.557.00
2019 - 2020,Sombres secrets du Saint-Laurent (Les) I,URBANIA TV 2802 Inc.,N/A,Production,Montreal,Performance Envelopes,French,45.000.00
2019 - 2020,14 mille millions de choses à savoir II,PRODUCTIONS KOTV V INC.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2019 - 2020,Garderie pour tous (Une) I (anc.: Garderie papillon),Attraction Images Productions XV Inc.,N/A,Production,Montreal,Performance Envelopes,French,227.206.00
2019 - 2020,Sauvages et orphelins I,Datsit Studios Quatorze Inc.,N/A,Production,Montreal,Performance Envelopes,French,203.730.00
2019 - 2020,Juste pour rires présente : Les soirées cartes blanches II,Juste pour rire TV inc.,N/A,Production,Montreal,Performance Envelopes,French,22.000.00
2019 - 2020,Juste pour rires présente : Les soirées cartes blanches II,Juste pour rire TV inc.,N/A,Production,Montreal,Performance Envelopes,French,22.000.00
2019 - 2020,Nicolas; chasseur aveugle,Datsit Studios Quatorze Inc.,N/A,Production,Montreal,Performance Envelopes,French,15.000.00
2019 - 2020,Aventures du pharmachien (Les) IV,Datsit Studios Neuf Inc.,N/A,Production,Montreal,Performance Envelopes,French,125.000.00
2019 - 2020,Magie des stars (La) III,Entourage télévision IV inc.,N/A,Production,Montreal,Performance Envelopes,French,175.000.00
2019 - 2020,Captation Bébés,URBANIA TV 3108 inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
