,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases
92,North Macedonia,"2,20,467",298,"7,778",10,"2,07,238",335
93,Algeria,"2,13,745",212,"6,171",6,"1,47,069",171
94,Zambia,"2,13,139",861,"3,673",2,"2,06,800",57
95,Finland,"2,11,239","1,981","1,446",,"46,000",
96,Albania,"2,04,928",301,"3,156",4,"1,96,298",463
97,Botswana,"1,99,864","2,220","2,425",1,"1,92,452",
98,Uzbekistan,"1,96,522",219,"1,449",4,"1,93,277",152
99,Kyrgyzstan,"1,84,094",39,"2,777",2,"1,79,166",43
100,Zimbabwe,"1,82,057",,"4,759",,"1,30,920",
101,Montenegro,"1,60,457",187,"2,367",2,"1,56,078",160
102,Afghanistan,"1,57,725",33,"7,332",1,"1,45,507","2,872"
103,Mozambique,"1,56,729","1,234","1,948",2,"1,50,206",191
104,Cyprus,"1,43,510",632,616,2,"1,24,370",
105,Namibia,"1,34,154",,"3,579",,"1,26,206",
106,Ghana,"1,31,911",71,"1,255",2,"1,29,683",23
107,Uganda,"1,28,300",88,"3,271",2,"97,927",34
108,El Salvador,"1,21,267",,"3,802",2,"1,04,989",
109,Cambodia,"1,20,397",7,"2,998",3,"1,16,759",13
110,Cameroon,"1,07,662",,"1,836",,"1,05,307",
111,Rwanda,"1,01,030",142,"1,344",,"45,522",
112,China,"1,00,000",77,"4,636",,"93,858",31
113,Luxembourg,"95,759",537,897,1,"88,892",578
114,Laos,"94,554","1,493",262,6,"7,339",
115,Maldives,"93,629",97,259,,"91,346",95
116,Jamaica,"91,927",59,"2,433",1,"63,624",29
117,Trinidad and Tobago,"83,130",567,"2,503",17,"65,966",472
118,Senegal,"74,115",10,"1,886",,"72,185",10
119,Réunion,"67,237",,393,,"62,026",
120,Angola,"65,565",,"1,737",,"63,591",
121,Malawi,"63,408",475,"2,311",1,"59,040",40
122,DRC,"63,388","1,456","1,126",8,"50,930",
123,Ivory Coast,"61,943",,706,,"61,032",
124,Eswatini,"57,842","1,642","1,255",1,"46,590",343
125,Guadeloupe,"55,284",,748,,"2,250",
126,Fiji,"52,604",,697,,"51,162",
127,Suriname,"51,323",34,"1,179",,"48,873",1
128,Syria,"49,493",,"2,828",,"30,770",
129,Martinique,"46,700",,749,,104,
130,French Guiana,"46,690",45,335,,"11,254",
131,French Polynesia,"46,335",,636,,N/A,N/A
132,Madagascar,"45,794",,980,,"43,393",
133,Sudan,"45,112",,"3,252",,"36,009",
134,Malta,"41,059",167,471,,"38,644",99
135,Mauritania,"39,964",40,852,,"38,629",58
136,Guyana,"38,728",44,"1,026",1,"36,962",95
137,Cabo Verde,"38,541",14,351,,"38,092",8
138,Gabon,"37,681",,285,,"35,090",
139,Papua New Guinea,"35,966",,587,,"35,162",
140,Belize,"31,187",,586,,"29,965",
141,Guinea,"30,814",,388,,"29,776",
142,Barbados,"27,071",44,255,1,"25,229",151
143,Tanzania,"26,483",,734,,N/A,N/A
144,Togo,"26,466",24,244,1,"25,959",7
145,Haiti,"25,907",42,765,3,"22,583",307
146,Benin,"24,907",,161,,"24,546",
147,Seychelles,"24,047",241,131,2,"23,574",280
148,Lesotho,"23,903",425,665,,"13,928",44
149,Somalia,"23,074",,"1,333",,"12,817",
150,Bahamas,"22,971",21,713,5,"21,666",5
151,Mauritius,"22,815",46,680,,"21,261",74
152,Channel Islands,"21,221",,107,,"19,326",
153,Burundi,"21,143",257,38,,773,
154,Mayotte,"21,139",,185,,"2,964",
155,Andorra,"20,549",413,134,,"18,285",400
156,Iceland,"20,044",183,36,,"18,530",114
157,Timor-Leste,"19,830",,122,,"19,704",
158,Congo,"19,179",113,365,6,"12,421",
159,Mali,"18,938",83,634,,"15,606",13
160,Curaçao,"17,657",,183,,"17,309",
161,Nicaragua,"17,391",,210,,"4,225",
162,Tajikistan,"17,095",,124,,"16,966",
163,Taiwan,"16,771",12,849,,"15,717",11
164,Aruba,"16,716",43,178,,"16,307",32
165,Burkina Faso,"16,672",,296,,"15,926",
166,Brunei,"15,376",4,98,,"15,058",12
167,Equatorial Guinea,"13,617",,175,,"13,406",
168,Djibouti,"13,526",,189,,"13,304",
169,New Zealand,"13,238",95,48,1,"10,971",23
170,Saint Lucia,"13,115",,285,,"12,751",
171,South Sudan,"12,969",,133,,"12,576",
172,Isle of Man,"12,895",83,67,,"12,020",
173,Hong Kong,"12,507",10,213,,"12,180",
174,New Caledonia,"12,445",24,280,,"11,979",3
175,CAR,"11,961",,101,,"6,859",
176,Yemen,"10,086",5,"1,973",,"6,958",3
177,Gambia,"10,045",,342,,"9,645",
178,Cayman Islands,"8,036",29,9,,"4,572",22
179,Eritrea,"7,713",27,65,,"7,509",19
180,Gibraltar,"7,683",54,100,,"7,268",11
181,Niger,"7,176",,270,,"6,879",
182,San Marino,"6,600",,94,,"5,978",
183,Guinea-Bissau,"6,452",,149,,"6,285",
184,Sierra Leone,"6,434",,121,,N/A,N/A
185,Dominica,"6,286",,42,,"5,874",
186,Grenada,"5,915",,200,,"5,665",
187,Liberia,"5,844",,287,,"5,535",
188,Bermuda,"5,784",,106,,"5,643",
189,St. Vincent Grenadines,"5,723",,77,,"5,111",
190,Chad,"5,701",,181,,"4,874",
191,Liechtenstein,"5,503",31,68,,"5,108",67
192,Sint Maarten,"4,662",,75,,"4,538",
193,Comoros,"4,589",13,151,,"4,391",1
194,Faeroe Islands,"4,477",,13,,"4,040",
195,Monaco,"4,283",60,36,,"3,990",41
196,Antigua and Barbuda,"4,177",,117,,"4,033",
197,Saint Martin,"3,973",,56,,"1,399",
198,Sao Tome and Principe,"3,735",2,57,,"3,676",1
199,Caribbean Netherlands,"3,162",,22,,"3,016",
200,Turks and Caicos,"3,151",,25,,"3,074",
201,British Virgin Islands,"2,842",,39,,N/A,N/A
202,Saint Kitts and Nevis,"2,797",,28,,"2,761",
203,Bhutan,"2,652",,3,,"2,630",1
204,Greenland,"1,937",20,,,"1,728",60
205,St. Barth,"1,603",,6,,N/A,N/A
206,Anguilla,"1,592",,4,,"1,521",
207,Diamond Princess,712,,13,,699,
208,Wallis and Futuna,454,,7,,438,
209,Saint Pierre Miquelon,96,,,,74,
210,Falkland Islands,83,,,,N/A,N/A
211,Macao,77,,,,77,
212,Montserrat,44,,1,,43,
213,Vatican City,27,,,,27,
214,Solomon Islands,20,,,,20,
215,Western Sahara,10,,1,,8,
216,MS Zaandam,9,,2,,7,
217,Palau,8,,,,8,
218,Vanuatu,6,,1,,5,
219,Marshall Islands,4,,,,4,
220,Samoa,3,,,,3,
221,Saint Helena,2,,,,2,
222,Micronesia,1,,,,1,
223,Tonga,1,,,,1,
