Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Mankind From Space,Handel Productions (MFS) Inc.,2014 - 2015,N/A,$108;750.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
19-2 II (11-20) (v.a.),Productions 19-2 Inc.,2014 - 2015,N/A,$4;055;143.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
19-2 II (11-20) (v.a.),Productions 19-2 Inc.,2014 - 2015,N/A,$749;103.00,N/A,Production,Drama,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Trapped in a Human Zoo – based on Abraham’s Diary,6732500 Canada Inc.,2014 - 2015,N/A,$19;622.00,N/A,Production,Documentary,N/A,N/A,Quebec,Performance Envelopes,Contracted,English,N/A
Trapped in a Human Zoo – based on Abraham’s Diary,6732500 Canada Inc.,2014 - 2015,N/A,$84;030.00,N/A,Production,Documentary,N/A,N/A,Quebec,Anglophone Minority Incentive,Contracted,English,N/A
Let there be light,Eye Steel (LTH) Productions Inc.,2014 - 2015,N/A,$112;500.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Chameleon,EyeSteel (FP) Productions Inc.,2014 - 2015,N/A,$75;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Arrange-toi avec ça ! II (36-74),Juste pour rire TV Inc.,2014 - 2015,N/A,$507;000.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Voir autrement (1-5),Lamarche à Vélo productions inc.,2014 - 2015,N/A,$65;625.00,N/A,Development,Documentary,N/A,N/A,Quebec,Quebec French Regional Development,Contracted,French,N/A
King’s Ears (The),Rascal Media Inc.,2014 - 2015,eBook,$110;372.00,,Production,N/A,Application,1,British Columbia,Experimental,Contracted,English,1
Taste of Canada (A),8896780 Canada Inc.,2014 - 2015,N/A,$1;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Performance Envelopes,Contracted,English,N/A
Taste of Canada (A),8896780 Canada Inc.,2014 - 2015,N/A,$12;526.00,N/A,Production,Documentary,N/A,N/A,Ontario,English Regional Production Bonus,Contracted,English,N/A
Crate To Plate I (1-6),8879966 Canada Limited,2014 - 2015,N/A,$125;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Performance Envelopes,Contracted,English,N/A
Crate To Plate I (1-6),8879966 Canada Limited,2014 - 2015,N/A,$55;968.00,N/A,Production,Documentary,N/A,N/A,Ontario,English Regional Production Bonus,Contracted,English,N/A
Lost Girl V (62-77),Bo Series 5 Inc.,2015 - 2016,N/A,$4;062;256.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Lost Girl V (62-77),Bo Series 5 Inc.,2014 - 2015,N/A,$4;062;256.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Crowdlinker Push,CrowdLinker Inc.,2014 - 2015,Social Media,$650;000.00,,Production,N/A,Website,1,Ontario,Experimental,Contracted,Bilingual,1
RushCut,Rushcut Media Inc.,2014 - 2015,N/A,$450;000.00,,Production,N/A,Application,1,British Columbia,Experimental,Contracted,English,1
Afterland,Imaginary Games Inc.,2014 - 2015,Game,$399;432.00,,Production,N/A,Application,1,British Columbia,Experimental,Contracted,Bilingual,1
GameWave,Gamewave Technologies Ltd.,2014 - 2015,Rich Interactive Media,$450;000.00,,Production,N/A,Application,1,British Columbia,Experimental,Contracted,Bilingual,1
I Saw Her Standing There,krangGAMES Inc.,2014 - 2015,Game,$60;000.00,,Production,N/A,Downloadable,1,British Columbia,Experimental,Contracted,English,1
Subaeria,Studios Illogika Inc.,2014 - 2015,Game,$366;750.00,,Production,N/A,Downloadable,1,Quebec,Experimental,Contracted,Bilingual,1
Volunteers Unleashed,Q Camera Productions Ltd.,2014 - 2015,N/A,$121;566.00,N/A,Production,Documentary,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Volunteers Unleashed,Q Camera Productions Ltd.,2014 - 2015,N/A,$22;898.00,N/A,Production,Documentary,N/A,N/A,British Columbia,English Regional Production Bonus,Contracted,English,N/A
Person Zero,Massive Damage Inc.,2014 - 2015,Game,$364;500.00,,Production,N/A,Downloadable,1,Ontario,Experimental,Contracted,English,1
Vermillion I (1-6),Drama Camp Productions Inc.,2014 - 2015,N/A,$15;000.00,N/A,Development,Drama,N/A,N/A,British Columbia,Aboriginal,Contracted,Aboriginal,N/A
We Happy Few,Compulsion Games Inc.,2014 - 2015,Game,$1;000;000.00,,Production,N/A,Downloadable,1,Quebec,Experimental,Contracted,Bilingual,1
Nerds and Monsters II (21-40),Slap Happy (Nerds & Monsters 2) Cartoons Inc.,2014 - 2015,N/A,$1;200;000.00,N/A,Production,Children's & Youth,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Nerds and Monsters II (21-40),Slap Happy (Nerds & Monsters 2) Cartoons Inc.,2014 - 2015,N/A,$356;370.00,N/A,Production,Children's & Youth,N/A,N/A,British Columbia,English Regional Production Bonus,Contracted,English,N/A
Mon ami Bulle,Télé-Québec,2014 - 2015,Rich Interactive Media,$733;941.00,,Production,N/A,Website,1,Quebec,Experimental,Contracted,French,1
Corner Gas: The Movie,Corner Gas The Movie (SK) Inc.,2014 - 2015,N/A,$510;000.00,N/A,Production,Drama,N/A,N/A,Saskatchewan,English Regional Production Bonus,Contracted,English,N/A
Some Assembly Required II (27-44),Toymaker II Productions Inc.,2014 - 2015,N/A,$3;280;708.00,N/A,Production,Children's & Youth,N/A,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Some Assembly Required II (27-44),Toymaker II Productions Inc.,2014 - 2015,N/A,$593;949.00,N/A,Production,Children's & Youth,N/A,N/A,British Columbia,English Regional Production Bonus,Contracted,English,N/A
Leap of Fate,Clever-Plays Studio Inc.,2014 - 2015,Game,$347;379.00,,Production,N/A,Downloadable,1,Quebec,Experimental,Contracted,Bilingual,1
Fated,Frima Studio Inc.,2014 - 2015,Game,$918;792.00,,Production,N/A,Downloadable,1,Quebec,Experimental,Contracted,Bilingual,1
