Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Lutins magnifiques (Les) I,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Famine & Shipwreck: An Irish Odyssey,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Dollhouse,Zazie Films Inc.,2020 - 2021,Rich Interactive Media,$250;000.00,N/A,Prototyping,Drama,Application,N/A,Ontario,Canada-Luxembourg Co-Development and Co-Production Incentive,Decision,English,N/A
RIO 10,Inner City Films Inc.,2020 - 2021,N/A,$32;500.00,N/A,Development,Drama,N/A,N/A,Ontario,Canada-South Africa Co-Development Incentive,Decision,English,N/A
The Transmogrification of St. Bunnycrisp,Arcana Studio Inc.,2020 - 2021,N/A,$31;815.00,N/A,Development,Children's & Youth,N/A,N/A,British Columbia,Canada-South Africa Co-Development Incentive,Decision,English,N/A
Blood Horn,Don Carmody Television Inc.,2020 - 2021,N/A,$32;500.00,N/A,Development,Drama,N/A,N/A,Ontario,Canada-South Africa Co-Development Incentive,Decision,English,N/A
Giltrude’s Dwelling,Peterson Polaris Corp.,2020 - 2021,N/A,$58;013.00,N/A,Development,Drama,N/A,N/A,Alberta,Canada-Luxembourg Co-Development and Co-Production Incentive,Decision,English,N/A
Spice Boys 2021 (Les) I,Hermine & Paul Productions Inc.,2020 - 2021,N/A,$17;860.00,N/A,Development,Drama,N/A,N/A,Montreal,Early-Stage Development,Decision,French,N/A
Ces femmes qui se libèrent I,Les Productions Nadiaz Inc.,2020 - 2021,N/A,$29;580.00,N/A,Development,Documentary,N/A,N/A,Montreal,Early-Stage Development,Decision,French,N/A
Smartsplit Audiovisuel,IPtoki,2020 - 2021,Software,$250;000.00,N/A,Prototyping,N/A,Application,2,Quebec,Prototyping,Decision,Bilingual,2
STRUKTUR,Les Jeux Servo Ltée,2020 - 2021,Game,$153;204.00,N/A,Prototyping,N/A,Downloadable,2,Quebec,Prototyping,Decision,Bilingual,2
I Love Ngozi I,Ngozika Productions Inc.,2020 - 2021,N/A,$40;000.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
How to Get a Girl Pregnant Mobile Application,Coyle Digital Inc.,2020 - 2021,Rich Interactive Media,$105;000.00,N/A,Prototyping,N/A,Application,2,Ontario,Prototyping,Decision,English,2
La Tour,Triple Boris Inc.,2020 - 2021,Game,$186;551.00,N/A,Prototyping,N/A,Downloadable,2,Quebec,Prototyping,Decision,Bilingual,2
Inlanders I,2291820 Alberta Ltd.,2020 - 2021,N/A,$35;700.00,N/A,Development,Drama,N/A,N/A,Alberta,Early-Stage Development,Decision,English,N/A
Unstoppable Mister Ponzi (The) I,SLINGSHOT PRODUCTIONS INC.,2020 - 2021,N/A,$40;000.00,N/A,Development,Documentary,N/A,N/A,Montreal,Early-Stage Development,Decision,English,N/A
Tale of a Wendigo,Blitzar Media Corp.,2020 - 2021,Game,$248;970.00,N/A,Prototyping,N/A,Downloadable,2,Alberta,Prototyping,Decision,English,2
Artcryption,Artcryption Inc.,2020 - 2021,Software,$249;750.00,N/A,Prototyping,N/A,Website,2,Ontario,Prototyping,Decision,English,2
Better Than Silver and Gold,2784065 Ontario Inc.,2020 - 2021,N/A,$39;993.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Whisper Walks,Jericca Cleland Ltd dba Oridian Entertainment,2020 - 2021,Game,$247;171.00,N/A,Prototyping,N/A,Application,2,British Columbia,Prototyping,Decision,Bilingual,2
Giving Back The Habitat,CanazWest Pictures Inc.,2020 - 2021,N/A,$40;000.00,N/A,Development,Documentary,N/A,N/A,British Columbia,Early-Stage Development,Decision,English,N/A
Rooster,Sticky Brain Studios Inc.,2020 - 2021,Game,$61;000.00,N/A,Prototyping,N/A,Downloadable,2,Ontario,Prototyping,Decision,English,2
Ad Vitam,Ubique Media Inc.,2020 - 2021,N/A,$40;000.00,N/A,Development,Documentary,N/A,N/A,Quebec,Early-Stage Development,Decision,French,N/A
Once Upon a Sea,Intuitive Pictures Inc.,2020 - 2021,Rich Interactive Media,$41;213.00,N/A,Marketing,N/A,Streaming,2,Quebec,Innovation,Decision,English,2
Yellowbird,Alison Lea Bingeman,2020 - 2021,N/A,$40;000.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Time Hoppers: The Silk Road,Milo Productions Inc,2020 - 2021,Game,$200;000.00,N/A,Prototyping,N/A,Downloadable,2,Alberta,Prototyping,Decision,English,2
Beyond the Trees,Little Bear Big Wolf Pictures Corp.,2020 - 2021,N/A,$31;200.00,N/A,Development,Documentary,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Magical Mystery Cure,10075116 MANITOBA LTD.,2020 - 2021,N/A,$40;000.00,N/A,Development,Documentary,N/A,N/A,Manitoba,Early-Stage Development,Decision,English,N/A
Murdoch Mysteries XIII – Augmented Reality Game – Marketing,Shaftesbury Murdoch XIII Inc.,2020 - 2021,Game,$84;637.00,N/A,Marketing,N/A,Application,2,Ontario,Innovation,Decision,English,2
Prized Possessions,Cream Digital Inc.,2020 - 2021,Game,$172;500.00,N/A,Prototyping,N/A,Downloadable,2,Ontario,Prototyping,Decision,English,2
Gold Mountain I,Shark 'n Bake Productions Inc.,2020 - 2021,N/A,$40;000.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Assemblage,Cream Digital Inc.,2020 - 2021,Rich Interactive Media,$180;000.00,N/A,Prototyping,N/A,Downloadable,2,Ontario,Prototyping,Decision,English,2
Then and Now,Sperryville Entertainment Inc.,2020 - 2021,N/A,$37;650.00,N/A,Development,Drama,N/A,N/A,Ontario,Early-Stage Development,Decision,English,N/A
Reasonable People,Luke Gordon Field,2020 - 2021,N/A,$19;851.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Young MacDonald,2811710 Ontario Ltd.,2020 - 2021,N/A,$30;400.00,N/A,Development,Children's & Youth,N/A,N/A,Ontario,Early-Stage Development,Decision,English,N/A
War Stories: The Caribou Trail,ManaVoid Entertainment Inc.,2020 - 2021,Game,$250;000.00,N/A,Prototyping,N/A,Downloadable,2,Quebec,Prototyping,Decision,Bilingual,2
Destiny’s Sword,2Dogs Games Ltd.,2020 - 2021,Game,$200;000.00,N/A,Marketing,N/A,Downloadable,2,Ontario,Innovation,Decision,English,2
Caravan,Epic Story Interactive Inc.,2020 - 2021,Game,$131;605.00,N/A,Prototyping,N/A,Downloadable,2,British Columbia,Prototyping,Decision,English,2
Compromised I,Dan Trotta Inc.,2020 - 2021,N/A,$40;000.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Ashcroft I,Jove Pictures Inc.,2020 - 2021,N/A,$39;723.00,N/A,Development,Drama,N/A,N/A,British Columbia,Early-Stage Development,Decision,English,N/A
Four on the Floor,Secret Location Inc.,2020 - 2021,Game,$186;287.00,N/A,Prototyping,N/A,Downloadable,2,Ontario,Prototyping,Decision,English,2
Projet Finnegan,Studio Affordance Inc.,2020 - 2021,Game,$250;000.00,N/A,Prototyping,N/A,Application,2,Quebec,Prototyping,Decision,Bilingual,2
Lumières de l’Islam,9131-6547 QUEBEC INC.,2020 - 2021,N/A,$40;000.00,N/A,Development,Documentary,N/A,N/A,Montreal,Early-Stage Development,Decision,French,N/A
What’s A Woman Doing Here? I,1489327 Ontario Ltd.,2020 - 2021,N/A,$40;000.00,N/A,Development,Documentary,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Thorncliffe,Omar Majeed Productions Inc.,2020 - 2021,N/A,$40;000.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Sages de tout âge (Ces),9196-5863 QUÉBEC INC.,2020 - 2021,N/A,$40;000.00,N/A,Development,Documentary,N/A,N/A,Montreal,Early-Stage Development,Decision,French,N/A
Feed the Food God,Cococucumber Inc.,2020 - 2021,Game,$173;400.00,N/A,Prototyping,N/A,Downloadable,2,Ontario,Prototyping,Decision,English,2
femme est l’avenir de l’homme (La),9126-4614 Québec Inc. (Les Productions du 5ième monde),2020 - 2021,N/A,$39;850.00,N/A,Development,Documentary,N/A,N/A,Quebec,Early-Stage Development,Decision,French,N/A
Brasier (Le),12668254 Canada Inc.,2020 - 2021,N/A,$12;000.00,N/A,Development,Drama,N/A,N/A,Quebec,Early-Stage Development,Decision,French,N/A
Chronic I,Perpetual Motion Productions Inc.,2020 - 2021,N/A,$40;000.00,N/A,Development,Drama,N/A,N/A,British Columbia,Early-Stage Development,Decision,English,N/A
Bacoo (The) I,Pangea Pictures Inc.,2020 - 2021,N/A,$38;520.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Kalaan the Cloud Rider I,Tokimeki Studio Inc.,2020 - 2021,N/A,$24;230.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Félix 24h/24 I,David Leblanc,2020 - 2021,N/A,$20;264.00,N/A,Development,Children's & Youth,N/A,N/A,Montreal,Early-Stage Development,Decision,French,N/A
Casques bleues; les femmes et le maintien de la paix I,Studio Morin Heights inc.,2020 - 2021,N/A,$39;150.00,N/A,Development,Documentary,N/A,N/A,Quebec,Early-Stage Development,Decision,French,N/A
Anti-Propaganda Extravaganza I.,1732590 Alberta Ltd.,2020 - 2021,N/A,$40;000.00,N/A,Development,Documentary,N/A,N/A,Alberta,Early-Stage Development,Decision,English,N/A
Times & Galaxy,Copychaser Games Inc.,2020 - 2021,Game,$38;550.00,N/A,Prototyping,N/A,Downloadable,2,Alberta,Prototyping,Decision,English,2
How To Rule The World,Kenvyn Productions Inc.,2020 - 2021,N/A,$38;201.00,N/A,Development,Documentary,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Fuji,Signal Space Inc.,2020 - 2021,Game,$220;089.00,N/A,Prototyping,N/A,Application,2,Quebec,Prototyping,Decision,Bilingual,2
Abyss,Outerminds Inc.,2020 - 2021,Game,$250;000.00,N/A,Prototyping,N/A,Application,2,Quebec,Prototyping,Decision,Bilingual,2
MEMORIES,Dissident Interactive Inc.,2020 - 2021,Game,$150;000.00,N/A,Marketing,N/A,Downloadable,2,Quebec,Innovation,Decision,English,2
Tarot I,Pearfeet Productions Inc.,2020 - 2021,N/A,$25;105.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Project Intergalactic,ZenFri Inc.,2020 - 2021,Game,$210;000.00,N/A,Prototyping,N/A,Application,2,Manitoba,Prototyping,Decision,English,2
Everyone’s a Panda I,12625326 Canada Inc.,2020 - 2021,N/A,$15;000.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Medusa I,Paul Spence & Associates Inc.,2020 - 2021,N/A,$39;974.00,N/A,Development,Drama,N/A,N/A,Montreal,Early-Stage Development,Decision,English,N/A
Wicca,Les jeux vidéo Autoexec Inc.,2020 - 2021,Game,$72;412.00,N/A,Marketing,N/A,Application,2,Quebec,Innovation,Decision,Bilingual,2
Unicorn Universe I,Arcana Studio Inc.,2020 - 2021,N/A,$24;795.00,N/A,Development,Children's & Youth,N/A,N/A,British Columbia,Early-Stage Development,Decision,English,N/A
My Buddyguard,Bootstrap Productions Inc.,2020 - 2021,N/A,$36;000.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Tastemaker: Memories of Dave Nichol,Decently Creative Limited,2020 - 2021,N/A,$29;800.00,N/A,Development,Documentary,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Fun Times at Fast Granny and Slowlo’s I,Reel Jester Productions Inc,2020 - 2021,N/A,$20;919.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Body Electric I,Amanda Fahey,2020 - 2021,N/A,$25;658.00,N/A,Development,Drama,N/A,N/A,Ontario,Early-Stage Development,Decision,English,N/A
Vicky Vector; Toy Inspector I,VICKY VECTOR INC.,2020 - 2021,N/A,$40;000.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Mecharena,UDX Interactive Inc.,2020 - 2021,Game,$250;000.00,N/A,Prototyping,N/A,Downloadable,2,Ontario,Prototyping,Decision,Bilingual,2
Culture Shock! I,Bawdy Lotion Inc.,2020 - 2021,N/A,$29;200.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Survivre,Productions Pier-Luc Lasalle inc.,2020 - 2021,N/A,$28;000.00,N/A,Development,Drama,N/A,N/A,Montreal,Early-Stage Development,Decision,French,N/A
On connaît le tabac,Clip Clap Inc.,2020 - 2021,N/A,$40;000.00,N/A,Development,Documentary,N/A,N/A,Quebec,Early-Stage Development,Decision,French,N/A
Call Boy I,Emotion Pictures Incorporated,2020 - 2021,N/A,$40;000.00,N/A,Development,Drama,N/A,N/A,Nova Scotia,Early-Stage Development,Decision,English,N/A
Red Planet One I,732131 Alberta LTD,2020 - 2021,N/A,$32;993.00,N/A,Development,Drama,N/A,N/A,Alberta,Early-Stage Development,Decision,English,N/A
Shelter,Nebraska Avenue Productions Inc.,2020 - 2021,N/A,$39;200.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
VoiceTrip Plateforme de divertissement géolocalisé,Prologue AI inc.,2020 - 2021,Rich Interactive Media,$249;849.00,N/A,Prototyping,N/A,Application,2,Quebec,Prototyping,Decision,Bilingual,2
Yori,Snow Moon Studios Inc.,2020 - 2021,Game,$58;171.00,N/A,Prototyping,N/A,Application,2,Ontario,Prototyping,Decision,English,2
Unmanageable,Owenbillyboy Productions Inc.,2020 - 2021,N/A,$35;888.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Paradise Motel I,2120172 Ontario Inc. (dba Trinetra Productions),2020 - 2021,N/A,$40;000.00,N/A,Development,Drama,N/A,N/A,Toronto,Early-Stage Development,Decision,English,N/A
Neuf vies de Simone Vendredi (Les) I,Productions Seymour inc.,2020 - 2021,N/A,$25;096.00,N/A,Development,Drama,N/A,N/A,Quebec,Early-Stage Development,Decision,French,N/A
Écho des chaudrons (L’) I,Merci Productions Inc.,2020 - 2021,N/A,$28;200.00,N/A,Development,Drama,N/A,N/A,Montreal,Early-Stage Development,Decision,French,N/A
Detention Adventure III,LoCo Productions Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Children's & Youth,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Canadiana III,The Canadiana Project Inc.,2020 - 2021,N/A,$45;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Bébéatrice IV,C'est même pas drôle Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Quebec,Digital Linear Series Program,Decision,French,N/A
Petrol III,N5 Pictures Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Slo Pitch II,Shaftesbury Development Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Germain s’éteint II,Les Productions La Récré inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Quebec,Digital Linear Series Program,Decision,French,N/A
Abracadavers II,Numera Films Limited,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Alberta,Digital Linear Series Program,Decision,English,N/A
Avant Après III,Rendez-vous Télé I inc.,2020 - 2021,N/A,$85;000.00,N/A,Production,Documentary,N/A,N/A,Quebec,Digital Linear Series Program,Decision,French,N/A
Top Dogs : Agents Doubles II,Koze Productions Inc.,2020 - 2021,N/A,$196;054.00,N/A,Production,Drama,N/A,N/A,Quebec,Digital Linear Series Program,Decision,French,N/A
Fourchette III,Attraction Images inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Quebec,Digital Linear Series Program,Decision,French,N/A
True Dating Stories,LaRue Productions Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Gary and His Demons S2,Blue Ant Studios Canada Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Panne (La) II,Blach Films Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Children's & Youth,N/A,N/A,Quebec,Digital Linear Series Program,Decision,French,N/A
Jensplaining II,Peacock Alley Entertainment Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Gay Mean Girls,2644914 Ontario Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Daisy & The Gumboot Kids III,Imagine Create Media Incorporated,2020 - 2021,N/A,$165;000.00,N/A,Production,Children's & Youth,N/A,N/A,British Columbia,Digital Linear Series Program,Decision,English,N/A
Next Stop II,Scarborough Pictures Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Avocado Toast The Series II,Guts and Gall Productions Inc.,2020 - 2021,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Ontario,Digital Linear Series Program,Decision,English,N/A
Umami,Département; studio créatif inc.,2020 - 2021,Rich Interactive Media,$375;000.00,N/A,Production,N/A,Application,2,Quebec,Innovation,Decision,Bilingual,2
UFIGHT,Global Mind Inc.,2020 - 2021,Game,$696;447.00,N/A,Production,N/A,Application,2,Quebec,Innovation,Decision,Bilingual,2
1000xRESIST!,Sunset Visitor Studios Inc.,2020 - 2021,Game,$486;376.00,N/A,Production,N/A,Downloadable,2,British Columbia,Innovation,Decision,English,2
Dingleberries,9391-0248 Québec inc.,2020 - 2021,Game,$404;235.00,N/A,Production,N/A,Downloadable,2,Quebec,Innovation,Decision,Bilingual,2
Rivolta di Christie Pits (La),1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Italian,N/A
La Vie Secrète des Monstres / The Secret Life of Monsters,Orangerine Inc.,2020 - 2021,Game,$647;662.00,N/A,Production,N/A,Physical Support,2,Quebec,Innovation,Decision,Bilingual,2
VFC,LMDP Co. Inc.,2020 - 2021,Rich Interactive Media,$1;018;421.00,N/A,Production,N/A,Physical Support,2,Quebec,Innovation,Decision,Bilingual,2
Broken Spectre,Stitch Media Ontario Inc.,2020 - 2021,Game,$1;453;590.00,N/A,Production,N/A,Application,2,Ontario,Innovation,Decision,Bilingual,2
Esperteza,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Portuguese,N/A
Kahel,ECG Productions Ltd.,2020 - 2021,N/A,$179;924.00,N/A,Production,Drama,N/A,N/A,Ontario,Diverse Languages,Decision,Tagalog,N/A
Mabahong Isda,ECG Productions Ltd.,2020 - 2021,N/A,$137;774.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Tagalog,N/A
Nino and His Shadow I,ECG Productions Ltd.,2020 - 2021,N/A,$200;000.00,N/A,Production,Children's & Youth,N/A,N/A,Ontario,Diverse Languages,Decision,Tagalog,N/A
When the Monuments Speak,ECG Productions Ltd.,2020 - 2021,N/A,$139;063.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Polish,N/A
Guido Nincheri: Il Leonardo del Canada,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Italian,N/A
Mini Maker,STUDIO CASA RARA INC./ CASA RARA STUDIO INC.,2020 - 2021,Game,$256;023.00,N/A,Production,N/A,Downloadable,2,Quebec,Innovation,Decision,Bilingual,2
Betrayal at House on the Hill VR,Secret Location Inc.,2020 - 2021,Game,$1;252;065.00,N/A,Production,N/A,Downloadable,2,Ontario,Innovation,Decision,English,2
GULAG. Witnesses I,ECG Productions Ltd.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Russian,N/A
Un Nuevo Norte: Energia,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Spanish,N/A
JaJaJa: Escuela de Comediantes,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Spanish,N/A
Game Academy’s Ultimate Obstacle Course,Dark Slope Studios Inc.,2020 - 2021,Rich Interactive Media,$850;000.00,N/A,Production,N/A,Downloadable,2,Ontario,Innovation,Decision,English,2
Candombe – Canciones de Libertad,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Spanish,N/A
Dia de los Muertos,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Spanish,N/A
This Bed We Made,Jeux Lowbirth Inc.,2020 - 2021,Game,$1;101;120.00,N/A,Production,N/A,Downloadable,2,Quebec,Innovation,Decision,Bilingual,2
El Premio Gordo,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Drama,N/A,N/A,Ontario,Diverse Languages,Decision,Spanish,N/A
Donald Ziraldo: L’Uomo che costrui Niagara,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Italian,N/A
JACK,Orangutan Matter Inc.,2020 - 2021,Game,$187;486.00,N/A,Production,N/A,Downloadable,2,Ontario,Innovation,Decision,English,2
Italofobia – L’esodo dal Quebec,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Italian,N/A
Padre Pio: Una Stigmata sulla Cultura Canadese,1345015 Ontario Inc.,2020 - 2021,N/A,$74;434.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Italian,N/A
Gotica: Il Modo Canadese,1345015 Ontario Inc.,2020 - 2021,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,Diverse Languages,Decision,Italian,N/A
More Than a Pandemic,New Realm Film and Video Inc.,2020 - 2021,N/A,$168;805.00,N/A,Production,Drama,N/A,N/A,Ontario,Diverse Languages,Decision,Mandarin,N/A
Thrive: Heavy Lies the Crown,Zugalu Ltd.,2020 - 2021,Game,$1;436;203.00,N/A,Production,N/A,Downloadable,2,Alberta,Commercial Projects Program,Decision,Bilingual,2
Verses VR,Lofty Sky Entertainment Inc.,2020 - 2021,Rich Interactive Media,$583;000.00,N/A,Production,N/A,Application,2,Ontario,Commercial Projects Program,Decision,English,2
Tomes & Quests: a Crossword RPG,9320-1028 Québec Inc.,2020 - 2021,Game,$165;592.00,N/A,Production,N/A,Downloadable,2,Quebec,Commercial Projects Program,Decision,Bilingual,2
Robots VR,Minority Media Inc.,2020 - 2021,Game,$1;400;000.00,N/A,Production,N/A,Downloadable,2,Quebec,Commercial Projects Program,Decision,Bilingual,2
Hill Agency,Achimostawinan Games Inc.,2020 - 2021,Game,$230;000.00,N/A,Production,N/A,Application,2,Ontario,Commercial Projects Program,Decision,English,2
Wobbly Knight,Mighty Yell Studios Inc.,2020 - 2021,Game,$485;025.00,N/A,Production,N/A,Downloadable,2,Ontario,Commercial Projects Program,Decision,English,2
Madzik Wars,10684651 Canada Inc.,2020 - 2021,Game,$1;250;000.00,N/A,Production,N/A,Downloadable,2,Quebec,Commercial Projects Program,Decision,Bilingual,2
Makinium III,11605232 Canada Inc.,2020 - 2021,N/A,$550;000.00,N/A,Production,Children's & Youth,N/A,2,Ontario,Francophone Minority,Decision,French,2
Habitants du Nord I,HDN MB 1 Inc.,2020 - 2021,N/A,$259;275.00,N/A,Production,Documentary,N/A,2,Manitoba,Francophone Minority,Decision,French,2
Dernière baleine (La),Botsford Média Inc.,2020 - 2021,N/A,$140;112.00,N/A,Production,Documentary,N/A,2,New Brunswick,Francophone Minority,Decision,French,2
Garde-partagée I,Garde-Partagée Productions Inc.,2020 - 2021,N/A,$1;126;300.00,N/A,Production,Drama,N/A,2,New Brunswick,Francophone Minority,Decision,French,2
Zik I,10887684 Canada Inc.,2020 - 2021,N/A,$236;463.00,N/A,Production,Children's & Youth,N/A,2,Toronto,Francophone Minority,Decision,French,2
Petite mairesse (La) I,CB-LPM Productions Limited,2020 - 2021,N/A,$340;498.00,N/A,Production,Children's & Youth,N/A,2,Ontario,Francophone Minority,Decision,French,2
Quatre coins de l’assiette (Les) I,Les quatre coins de l'assiette Productions Inc.,2020 - 2021,N/A,$393;527.00,N/A,Production,Documentary,N/A,2,Nova Scotia,Francophone Minority,Decision,French,2
Tout simplement country III,3286993 N.S. Ltd.,2020 - 2021,N/A,$511;357.00,N/A,Production,Variety & Performing Arts,N/A,2,Nova Scotia,Francophone Minority,Decision,French,2
Quand les femmes prennent le large,606913 N.B. Ltée,2020 - 2021,N/A,$104;340.00,N/A,Production,Documentary,N/A,2,New Brunswick,Francophone Minority,Decision,French,2
Artificio,Faits Divers Média inc,2020 - 2021,Digital Linear Series,$110;000.00,N/A,Prototyping,Documentary,Streaming,N/A,Quebec,Canada-Germany Digital Media Incentive,Decision,English,N/A
The Matriarx,Arcana Studio Inc.,2020 - 2021,N/A,$117;038.00,N/A,Prototyping,N/A,N/A,N/A,British Columbia,Canada-Germany Digital Media Incentive,Decision,English,N/A
The Last Whale Singer,Big Bad Boo Studios Inc.,2020 - 2021,Rich Interactive Media,$48;438.00,N/A,Prototyping,Children's & Youth,Application,N/A,British Columbia,Canada-Germany Digital Media Incentive,Decision,English,N/A
Ceol Ceanada / Canada in Music,Tell Tale Productions Inc.,2020 - 2021,N/A,$24;770.00,N/A,Development,Documentary,N/A,N/A,Nova Scotia,Canada-Northern Ireland Co-Development Incentive,Decision,English,N/A
Dog Walker (The) I,Arcana Studio Inc.,2020 - 2021,N/A,$10;209.00,N/A,Development,Drama,N/A,N/A,British Columbia,Canada-Northern Ireland Co-Development Incentive,Decision,English,N/A
Burtonport I,Blue Prairie Productions Limited,2020 - 2021,N/A,$14;458.00,N/A,Development,Drama,N/A,N/A,Manitoba,Canada-Northern Ireland Co-Development Incentive,Decision,English,N/A
Class Clown I,Global Mechanic Media Inc.,2020 - 2021,N/A,$35;381.00,N/A,Development,Children's & Youth,N/A,N/A,British Columbia,Canada-Northern Ireland Co-Development Incentive,Decision,English,N/A
Ragdolls I,Productions Sardine Inc.,2020 - 2021,N/A,$25;182.00,N/A,Development,Children's & Youth,N/A,N/A,Quebec,Canada-Northern Ireland Co-Development Incentive,Decision,English,N/A
Bobby Rush: Renaissance Man of the Blues,Eye Steel Film Inc.,2020 - 2021,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,English POV,Decision,English,N/A
Big Fight in Little Chinatown,Eye Steel Film Inc.,2020 - 2021,N/A,$400;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,English POV,Decision,English,N/A
Anne Murray: Full Circle,Network Entertainment Inc.,2020 - 2021,N/A,$380;000.00,N/A,Production,Documentary,N/A,N/A,British Columbia,English POV,Decision,English,N/A
